# Berço    Linear [m]    H [mm]    u_H [mm]    V [mm]    u_V [mm]    L [mm]    u_L [mm]    Roll [mrad]    u_roll [mrad]    fH [mm]    dH [mm]    fV [mm]    dV [mm]
S17-B03     0.000        -1.168      0.022     0.096      0.030      0.177      0.025        0.199             0.052       -1.189      0.021      0.049      0.007
S17-B02     1.617        -1.183      0.022     0.143      0.030      0.262      0.023        0.060             0.052       -1.191      0.008      0.058      0.045
S17-B01     9.417        -1.415      0.022     0.055      0.030      0.128      0.023        0.108             0.052       -1.268     -0.147      0.117     -0.102
S16-B11     11.034       -1.249      0.022     0.132      0.030      0.796      0.025       -0.017             0.052       -1.289      0.040      0.133     -0.041
S16-B10     12.896       -1.336      0.022     0.180      0.030      0.350      0.023        0.129             0.052       -1.312     -0.024      0.152     -0.012
S16-B09     14.688       -1.309      0.030     0.192      0.025      0.400      0.025        0.301             0.052       -1.333      0.024      0.172     -0.020
S16-B08     16.442       -1.281      0.022     0.285      0.030      0.311      0.023        0.120             0.052       -1.351      0.070      0.193      0.052
S16-B07     18.473       -1.339      0.022     0.184      0.030      0.708      0.023        0.027             0.052       -1.370      0.031      0.219     -0.075
S16-B06     20.504       -1.393      0.022     0.322      0.030      0.224      0.023        0.119             0.052       -1.385     -0.008      0.247      0.035
S16-B05     22.258       -1.362      0.030     0.364      0.025      0.319      0.025        0.168             0.052       -1.395      0.033      0.272      0.052
S16-B04     24.050       -1.366      0.022     0.415      0.030      0.336      0.023       -0.001             0.052       -1.403      0.037      0.299      0.076
S16-B03     25.912       -1.448      0.022     0.414      0.030      0.155      0.025        0.062             0.052       -1.408     -0.040      0.329      0.045
S16-B02     27.737       -1.422      0.022     0.435      0.030      0.019      0.023        0.061             0.052       -1.410     -0.012      0.359      0.036
S16-B01     35.121       -1.384      0.022     0.537      0.030      0.274      0.023        0.032             0.052       -1.393      0.009      0.493      0.004
S15-B11     36.946       -1.334      0.022     0.584      0.030      0.308      0.025        0.008             0.052       -1.383      0.049      0.528      0.016
S15-B10     38.808       -1.370      0.022     0.585      0.030      0.176      0.023       -0.034             0.052       -1.371      0.001      0.564     -0.019
S15-B09     40.600       -1.462      0.030     0.618      0.025      0.047      0.025        0.023             0.052       -1.358     -0.104      0.599     -0.021
S15-B08     42.354       -1.405      0.022     0.652      0.030      0.045      0.023        0.112             0.052       -1.344     -0.061      0.633     -0.021
S15-B07     44.385       -1.286      0.022     0.625      0.030      0.191      0.023        0.033             0.052       -1.326      0.040      0.672     -0.087
S15-B06     46.416       -1.319      0.022     0.744      0.030      0.181      0.023       -0.025             0.052       -1.307     -0.012      0.710     -0.006
S15-B05     48.170       -1.299      0.030     0.758      0.025      0.014      0.025        0.130             0.052       -1.289     -0.010      0.742     -0.024
